"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 11 11:34:07 BRT 2022","Mon Apr 11 11:34:32 BRT 2022","25328","","Acessar Admin Panel","","Acessar Admin Panel","shoud login with valid credentials","shoud login with valid credentials",""
"broken","Mon Apr 11 11:15:26 BRT 2022","Mon Apr 11 11:15:47 BRT 2022","21180","","Acessar Admin Panel","","Acessar Admin Panel","shoud login with valid credentials","shoud login with valid credentials",""
